Monte Grimano Terme comune,Monte Grimano Terme comune.1
,
Monte Grimano Terme – Veduta,Monte Grimano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Elia Rossi (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°51′55.55″N 12°28′23.02″E
Altitudine,536 m s.l.m.
Superficie,"23,97 km²"
Abitanti,1 141[1] (30-11-2025)
Densità,"47,6 ab./km²"
Frazioni,"Montelicciano, Savignano Monte Tassi"
Comuni confinanti,"Fiorentino (RSM), Macerata Feltria, Mercatino Conca, Monte Cerignone, Montecopiolo (RN), Montegiardino (RSM), San Leo (RN), Sassofeltrio (RN)"
Altre informazioni,Altre informazioni
Cod. postale,61010
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,041035
Cod. catastale,F524
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 422 GG[3]"
Nome abitanti,montegrimanesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
PIL procapite,"(nominale) 13,969 € (2023)[4]"
Cartografia,Cartografia
Monte Grimano Terme,Monte Grimano Terme
Monte Grimano Terme – MappaPosizione del comune di Monte Grimano Terme nella provincia di Pesaro e Urbino,Monte Grimano Terme – MappaPosizione del comune di Monte Grimano Terme nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
