Montelabbate comune,Montelabbate comune.1
,
Montelabbate – Veduta,Montelabbate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Roberto Rossi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°50′56.15″N 12°47′27.24″E
Altitudine,65 m s.l.m.
Superficie,"19,57 km²"
Abitanti,7 049[1] (30-11-2025)
Densità,"360,19 ab./km²"
Frazioni,"Apsella, Farneto, Montelabbate, Osteria Nuova, Ripe"
Comuni confinanti,"Pesaro, Tavullia, Urbino, Vallefoglia"
Altre informazioni,Altre informazioni
Cod. postale,61025
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041036
Cod. catastale,F533
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 144 GG[3]"
Nome abitanti,montelabbatesi
Patrono,Santi Quirico e Giulitta
Giorno festivo,15 luglio
Cartografia,Cartografia
Montelabbate,Montelabbate
Montelabbate – MappaPosizione del comune di Montelabbate nella provincia di Pesaro e Urbino,Montelabbate – MappaPosizione del comune di Montelabbate nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
