Sassocorvaro Auditore comune,Sassocorvaro Auditore comune.1
,
Sassocorvaro Auditore – Veduta,Sassocorvaro Auditore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Daniele Grossi (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1-1-2019
Territorio,Territorio
Coordinate,43°46′48.48″N 12°29′49.37″E
Altitudine,326 m s.l.m.
Superficie,"87,55 km²"
Abitanti,4 876[1] (30-11-2025)
Densità,"55,69 ab./km²"
Frazioni,"Auditore, Bronzo, Ca' Guido, Ca' Angelino, Caprazzino, Case Nuove Provinciali, Casinina, Castelnuovo, Celletta di Valle Avellana, Fontanelle, Mercatale, Molino Fulvi, Piagnano, Pian d'Alberi, San Donato in Taviglione, San Giovanni, San Leo Nuovo, Sassocorvaro."
Comuni confinanti,"Gemmano (RN), Lunano, Macerata Feltria, Mercatino Conca, Monte Cerignone, Montefiore Conca (RN), Piandimeleto, Tavoleto, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61028
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041071
Cod. catastale,M413
Cl. sismica,zona 2 (sismicità media)[2]
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Sassocorvaro Auditore,Sassocorvaro Auditore
Sassocorvaro Auditore – MappaPosizione del comune di Sassocorvaro Auditore nella provincia di Pesaro e Urbino,Sassocorvaro Auditore – MappaPosizione del comune di Sassocorvaro Auditore nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
