Cartoceto comune,Cartoceto comune.1
,
Cartoceto – Veduta,Cartoceto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Matteo Andreoni (Vicesindaco - Sindaco f.f.) dall'11-12-2025
Territorio,Territorio
Coordinate,43°45′51.48″N 12°52′59.52″E
Altitudine,235 m s.l.m.
Superficie,"23,2 km²"
Abitanti,7 974[1] (30-11-2025)
Densità,"343,71 ab./km²"
Frazioni,"Lucrezia, Molinaccio, Pontemurello, Ripalta, Salomone, Sant'Anna"
Comuni confinanti,"Colli al Metauro, Fano, Mombaroccio, Terre Roveresche"
Altre informazioni,Altre informazioni
Cod. postale,61030
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041010
Cod. catastale,B846
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 250 GG[3]"
Nome abitanti,cartocetani
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Cartoceto,Cartoceto
Cartoceto – MappaPosizione del comune di Cartoceto nella provincia di Pesaro e Urbino,Cartoceto – MappaPosizione del comune di Cartoceto nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
