Monte Porzio comune,Monte Porzio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Marco Moscatelli (lista civica di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°41′23.6″N 13°02′43.3″E
Altitudine,105 m s.l.m.
Superficie,"18,29 km²"
Abitanti,2 849[1] (30-11-2025)
Densità,"155,77 ab./km²"
Frazioni,"Castelvecchio, Piaggiolino"
Comuni confinanti,"Corinaldo (AN), Mondavio, San Costanzo, Terre Roveresche, Trecastelli (AN)"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041038
Cod. catastale,F589
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 157 GG[3]"
Nome abitanti,monteporziesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Monte Porzio,Monte Porzio
Monte Porzio – MappaPosizione del comune di Monte Porzio nella provincia di Pesaro e Urbino,Monte Porzio – MappaPosizione del comune di Monte Porzio nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
