Petriano comune,Petriano comune.1
,
Petriano – Veduta,Petriano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Giovanni Angelini (lista civica di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°46′50.12″N 12°44′00.78″E
Altitudine,327 m s.l.m.
Superficie,"11,27 km²"
Abitanti,2 823[1] (30-11-2025)
Densità,"250,49 ab./km²"
Frazioni,"Gallo, Riceci, Santa Maria in Calafria, Valzangona"
Comuni confinanti,"Montefelcino, Urbino, Vallefoglia"
Altre informazioni,Altre informazioni
Cod. postale,61020
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041045
Cod. catastale,G514
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 336 GG[3]"
Nome abitanti,petrianesi
Patrono,San Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Petriano,Petriano
Petriano – MappaPosizione del comune di Petriano nella provincia di Pesaro e Urbino,Petriano – MappaPosizione del comune di Petriano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
