Sant'Ippolito comune,Sant'Ippolito comune.1
,
Sant'Ippolito – Veduta,Sant'Ippolito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Marco Marchetti (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°41′05.2″N 12°52′15.49″E
Altitudine,246 m s.l.m.
Superficie,"19,88 km²"
Abitanti,1 504[1] (30-11-2025)
Densità,"75,65 ab./km²"
Frazioni,"Pian di Rose, Reforzate, Sorbolongo"
Comuni confinanti,"Colli al Metauro, Fossombrone, Fratte Rosa, Montefelcino, Terre Roveresche"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041058
Cod. catastale,I344
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 271 GG[3]"
Nome abitanti,santippolitesi
Patrono,sant'Ippolito di Roma
Giorno festivo,13 agosto
Cartografia,Cartografia
Sant'Ippolito,Sant'Ippolito
Sant'Ippolito – MappaPosizione del comune di Sant'Ippolito nella provincia di Pesaro e Urbino,Sant'Ippolito – MappaPosizione del comune di Sant'Ippolito nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
