Monte Cerignone comune,Monte Cerignone comune.1
,
Monte Cerignone – Veduta,Monte Cerignone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Davide Giorgio Giorgini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°50′28″N 12°24′46″E
Altitudine,528 m s.l.m.
Superficie,"18,24 km²"
Abitanti,568[1] (30-11-2025)
Densità,"31,14 ab./km²"
Frazioni,"Ca' Rando, Ca' Vico, Pereto, San Giovanni, Valle di Teva, Valle Magnone"
Comuni confinanti,"Macerata Feltria, Mercatino Conca, Montecopiolo (RN), Monte Grimano Terme, Sassocorvaro Auditore, Tavoleto"
Altre informazioni,Altre informazioni
Cod. postale,61010
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,041031
Cod. catastale,F467
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 499 GG[3]"
Nome abitanti,cerignonesi
Patrono,san Biagio
Giorno festivo,3 febbraio
PIL procapite,"(nominale) 16,989 € (2023)[4]"
Cartografia,Cartografia
Monte Cerignone,Monte Cerignone
Monte Cerignone – MappaPosizione del comune di Monte Cerignone nella provincia di Pesaro e Urbino,Monte Cerignone – MappaPosizione del comune di Monte Cerignone nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
