Montecalvo in Foglia comune,Montecalvo in Foglia comune.1
,
Montecalvo in Foglia – Veduta,Montecalvo in Foglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Donatella Paganelli (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°48′41.76″N 12°37′53.9″E
Altitudine,345 m s.l.m.
Superficie,"18,25 km²"
Abitanti,2 780[1] (30-11-2025)
Densità,"152,33 ab./km²"
Frazioni,"Borgo Massano, Ca' Gallo, San Giorgio"
Comuni confinanti,"Mondaino (RN), Tavullia, Urbino, Vallefoglia"
Altre informazioni,Altre informazioni
Cod. postale,61020
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041030
Cod. catastale,F450
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 351 GG[3]"
Nome abitanti,montecalvesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Montecalvo in Foglia,Montecalvo in Foglia
Montecalvo in Foglia – MappaPosizione del comune di Montecalvo in Foglia nella provincia di Pesaro e Urbino,Montecalvo in Foglia – MappaPosizione del comune di Montecalvo in Foglia nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
