Piobbico comune,Piobbico comune.1
,
Piobbico – VedutaPiobbico visto da nord,Piobbico – VedutaPiobbico visto da nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Alessandro Urbini (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°35′16.69″N 12°30′35.28″E
Altitudine,339 m s.l.m.
Superficie,"48,2 km²"
Abitanti,1 810[1] (30-11-2025)
Densità,"37,55 ab./km²"
Frazioni,"Acquanera, Bacciardi, Ca' Giavaccolo, Cardella, Colle, Cuppio, Fratta, Monteforno, Piano"
Comuni confinanti,"Apecchio, Cagli, Urbania"
Altre informazioni,Altre informazioni
Cod. postale,61046
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041049
Cod. catastale,G682
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 346 GG[3]"
Nome abitanti,piobbichesi
Patrono,santa Maria in Val d'Abisso
Giorno festivo,8 settembre
Cartografia,Cartografia
Piobbico,Piobbico
Piobbico – MappaPosizione del comune di Piobbico nella provincia di Pesaro e Urbino,Piobbico – MappaPosizione del comune di Piobbico nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
