Mercatello sul Metauro comune,Mercatello sul Metauro comune.1
,
Mercatello sul Metauro – Veduta,Mercatello sul Metauro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Alfiero Marchetti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°38′50.64″N 12°20′12.59″E
Altitudine,429 m s.l.m.
Superficie,"68,36 km²"
Abitanti,1 318[1] (30-11-2025)
Densità,"19,28 ab./km²"
Frazioni,Castello della Pieve
Comuni confinanti,"Apecchio, Borgo Pace, Carpegna, Città di Castello (PG), San Giustino (PG), Sant'Angelo in Vado, Sestino (AR)"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041025
Cod. catastale,F135
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 491 GG[3]"
Nome abitanti,mercatellesi
Patrono,santa Veronica
Giorno festivo,9 luglio
Cartografia,Cartografia
Mercatello sul Metauro,Mercatello sul Metauro
Mercatello sul Metauro – MappaPosizione del comune di Mercatello sul Metauro nella provincia di Pesaro e Urbino,Mercatello sul Metauro – MappaPosizione del comune di Mercatello sul Metauro nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
