Isola del Piano comune,Isola del Piano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Giuseppe Paolini (centro-sinistra) dal 29-3-2010 (3º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,43°44′14.06″N 12°46′59.16″E
Altitudine,210 m s.l.m.
Superficie,"23,3 km²"
Abitanti,521[1] (30-11-2025)
Densità,"22,36 ab./km²"
Frazioni,Castelgagliardo
Comuni confinanti,"Fossombrone, Montefelcino, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61030
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041021
Cod. catastale,E351
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 242 GG[3]"
Nome abitanti,isolani
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Isola del Piano,Isola del Piano
Isola del Piano – MappaPosizione del comune di Isola del Piano nella provincia di Pesaro e Urbino,Isola del Piano – MappaPosizione del comune di Isola del Piano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
