Belforte all'Isauro comune,Belforte all'Isauro comune.1
,
Belforte all'Isauro – Veduta,Belforte all'Isauro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Federica Battazzi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°43′01.2″N 12°22′32.63″E
Altitudine,344 m s.l.m.
Superficie,"12,29 km²"
Abitanti,729[1] (30-11-2025)
Densità,"59,32 ab./km²"
Frazioni,"Campo, Torriola, Molino"
Comuni confinanti,"Carpegna, Piandimeleto, Sant'Angelo in Vado, Sestino (AR)"
Altre informazioni,Altre informazioni
Cod. postale,61020
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041005
Cod. catastale,A740
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 350 GG[3]"
Nome abitanti,belfortini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Belforte all'Isauro,Belforte all'Isauro
Belforte all'Isauro – MappaPosizione del comune di Belforte all'Isauro nella provincia di Pesaro e Urbino,Belforte all'Isauro – MappaPosizione del comune di Belforte all'Isauro nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
