Fano comune,Fano comune.1
,
"Fano – VedutaL'Arco d'Augusto, nel centro storico","Fano – VedutaL'Arco d'Augusto, nel centro storico"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Luca Serfilippi (Lega) dal 10-6-2024
Territorio,Territorio
Coordinate,43°50′33″N 13°00′49″E
Altitudine,12 m s.l.m.
Superficie,"121,84 km²"
Abitanti,59 910[1] (30-11-2025)
Densità,"491,71 ab./km²"
Frazioni,"Belgatto, Bellocchi, Caminate, Carignano, Carrara di Fano, Centinarola, Cuccurano, Falcineto, Fenile, Fosso Sejore, Madonna del Ponte Metauro, Magliano, Metaurilia, Monte Giove, Ponte Sasso, Prelato, Roncosambaccio, Rosciano, San Biagio, San Cesareo, Sant'Angelo, Sant'Andrea in Villis, Sant'Orso, Tombaccia, Torrette, Tre Ponti[senza fonte]"
Comuni confinanti,"Cartoceto, Mombaroccio, Mondolfo, Pesaro, San Costanzo, Terre Roveresche"
Altre informazioni,Altre informazioni
Cod. postale,61032
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041013
Cod. catastale,D488
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 130 GG[3]"
Nome abitanti,fanesi
Patrono,san Paterniano
Giorno festivo,10 luglio
Soprannome,Città della Fortuna
Motto,(LA) Ex concordia felicitas (IT) Dalla concordia nasce la felicità
Cartografia,Cartografia
Fano,Fano
Fano – MappaPosizione del comune di Fano nella provincia di Pesaro e Urbino,Fano – MappaPosizione del comune di Fano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
