Montefelcino comune,Montefelcino comune.1
,
Montefelcino – VedutaMontefelcino,Montefelcino – VedutaMontefelcino
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Maurizio Marotesi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°44′04.02″N 12°49′59.16″E
Altitudine,260 m s.l.m.
Superficie,"39,01 km²"
Abitanti,2 436[1] (30-11-2025)
Densità,"62,45 ab./km²"
Frazioni,"Casa Rotonda, Fontecorniale, Monteguiduccio, Montemontanaro, Ponte degli Alberi, Sterpeti, Villa Palombara, Ville, Valzangona"
Comuni confinanti,"Colli al Metauro, Fossombrone, Isola del Piano, Pesaro, Petriano, Sant'Ippolito, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61030
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041034
Cod. catastale,F497
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 282 GG[3]"
Nome abitanti,montefelcinesi
Patrono,sant'Esuperanzio
Giorno festivo,24 gennaio
Cartografia,Cartografia
Montefelcino,Montefelcino
Montefelcino – MappaPosizione del comune di Montefelcino nella provincia di Pesaro e Urbino,Montefelcino – MappaPosizione del comune di Montefelcino nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
