Pietrarubbia comune,Pietrarubbia comune.1
,
Pietrarubbia – Veduta,Pietrarubbia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Maria Assunta Paolini (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°48′15.62″N 12°22′37.56″E
Altitudine,572 m s.l.m.
Superficie,"13,29 km²"
Abitanti,652[1] (30-11-2025)
Densità,"49,06 ab./km²"
Frazioni,"La Badia, Ca' Baldissera, Ca' Bartolino, Ca' Boso, Ca' Carbone, Ca' Ivano, Ca' Maluccio, Ca' Mancino, Ca' Volanino, Lago del Conte, Mercato Vecchio (sede comunale), Pontecappuccini, Villa del Piano[2]"
Comuni confinanti,"Carpegna, Frontino, Macerata Feltria, Montecopiolo (RN), Piandimeleto"
Altre informazioni,Altre informazioni
Cod. postale,61023
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041048
Cod. catastale,G627
Targa,PU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 535 GG[4]"
Nome abitanti,pietrarubbiesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
PIL procapite,"(nominale) 16,661 € (2023)[5]"
Cartografia,Cartografia
Pietrarubbia,Pietrarubbia
Pietrarubbia – MappaPosizione del comune di Pietrarubbia nella provincia di Pesaro e Urbino,Pietrarubbia – MappaPosizione del comune di Pietrarubbia nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
