Sant'Angelo in Vado comune,Sant'Angelo in Vado comune.1
,
Sant'Angelo in Vado – VedutaPanorama,Sant'Angelo in Vado – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Stefano Parri (lista civica di centro-sinistra) dal 22-9-2020
Territorio,Territorio
Coordinate,43°39′52.99″N 12°24′46.8″E
Altitudine,359 m s.l.m.
Superficie,"67,34 km²"
Abitanti,3 912[1] (30-11-2025)
Densità,"58,09 ab./km²"
Comuni confinanti,"Apecchio, Belforte all'Isauro, Carpegna, Città di Castello (PG), Mercatello sul Metauro, Peglio, Piandimeleto, Urbania, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61048
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041057
Cod. catastale,I287
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 434 GG[3]"
Nome abitanti,vadesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
PIL procapite,"(nominale) 19,431 € (2023)[4]"
Cartografia,Cartografia
Sant'Angelo in Vado,Sant'Angelo in Vado
Sant'Angelo in Vado – MappaPosizione del comune di Sant'Angelo in Vado nella provincia di Pesaro e Urbino,Sant'Angelo in Vado – MappaPosizione del comune di Sant'Angelo in Vado nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
