Peglio comune,Peglio comune.1
,
Peglio – Veduta,Peglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Livio Talozzi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°41′45.56″N 12°29′45.71″E
Altitudine,650 m s.l.m.
Superficie,"21,36 km²"
Abitanti,682[1] (30-11-2025)
Densità,"31,93 ab./km²"
Comuni confinanti,"Lunano, Sant'Angelo in Vado, Sassocorvaro Auditore, Urbania, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61049
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041041
Cod. catastale,G416
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 504 GG[3]"
Nome abitanti,pegliesi
Patrono,san Fortunato
Giorno festivo,14 ottobre
Cartografia,Cartografia
Peglio,Peglio
Peglio – MappaPosizione del comune di Peglio nella provincia di Pesaro e Urbino,Peglio – MappaPosizione del comune di Peglio nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
