Frontone comune,Frontone comune.1
,
Frontone – VedutaVeduta dal castello di Frontone,Frontone – VedutaVeduta dal castello di Frontone
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Daniele Tagnani (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°30′51.98″N 12°44′18.42″E
Altitudine,412 m s.l.m.
Superficie,"36,08 km²"
Abitanti,1 192[1] (30-11-2025)
Densità,"33,04 ab./km²"
Frazioni,"Castello, Colombara, Foce, Caprile, San Savino, Buonconsiglio."
Comuni confinanti,"Cagli, Cantiano, Pergola, Scheggia e Pascelupo (PG), Serra Sant'Abbondio"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041018
Cod. catastale,D808
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 256 GG[3]"
Nome abitanti,frontonesi
Patrono,san Teodoro
Giorno festivo,9 settembre
Cartografia,Cartografia
Frontone,Frontone
Frontone – MappaPosizione del comune di Frontone nella provincia di Pesaro e Urbino,Frontone – MappaPosizione del comune di Frontone nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
