Mombaroccio comune,Mombaroccio comune.1
,
Mombaroccio – Veduta,Mombaroccio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Emanuele Petrucci (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°47′48.95″N 12°51′18.47″E
Altitudine,321 m s.l.m.
Superficie,"28,21 km²"
Abitanti,2 149[1] (30-11-2025)
Densità,"76,18 ab./km²"
Frazioni,"Cairo, Montegiano, Passo del Beato Sante, Villagrande"
Comuni confinanti,"Cartoceto, Colli al Metauro, Fano, Pesaro"
Altre informazioni,Altre informazioni
Cod. postale,61024
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041027
Cod. catastale,F310
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 331 GG[3]"
Nome abitanti,mombaroccesi
Patrono,santi Vito e Modesto
Giorno festivo,15 giugno
Cartografia,Cartografia
Mombaroccio,Mombaroccio
Mombaroccio – MappaPosizione del comune di Mombaroccio nella provincia di Pesaro e Urbino,Mombaroccio – MappaPosizione del comune di Mombaroccio nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
