Mercatino Conca comune,Mercatino Conca comune.1
,
Mercatino Conca – Veduta,Mercatino Conca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Omar Lavanna (lista civica di centro-sinistra) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°52′13.8″N 12°29′29.76″E
Altitudine,275 m s.l.m.
Superficie,"13,95 km²"
Abitanti,1 073[1] (30-11-2025)
Densità,"76,92 ab./km²"
Frazioni,"Monte Altavellio, Piandicastello, Ripalta"
Comuni confinanti,"Gemmano (RN), Monte Cerignone, Monte Grimano Terme, Sassocorvaro Auditore, Sassofeltrio (RN), Tavoleto"
Altre informazioni,Altre informazioni
Cod. postale,61013
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,041026
Cod. catastale,F136
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 294 GG[3]"
Nome abitanti,mercatinesi
Patrono,Apollinare di Ravenna
Giorno festivo,23 luglio
PIL procapite,"(nominale) 16,408 € (2023)[4]"
Cartografia,Cartografia
Mercatino Conca,Mercatino Conca
Mercatino Conca – MappaPosizione del comune di Mercatino Conca nella provincia di Pesaro e Urbino,Mercatino Conca – MappaPosizione del comune di Mercatino Conca nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
