Cantiano comune,Cantiano comune.1
,
Cantiano – Veduta,Cantiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Alessandro Piccini (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°28′21.29″N 12°37′42.71″E
Altitudine,360 m s.l.m.
Superficie,"83,25 km²"
Abitanti,1 968[1] (30-11-2025)
Densità,"23,64 ab./km²"
Frazioni,"Chiaserna, Fossato, Moria, Palcano, Pontedazzo, Pontericciòli, San Crescentino, Balbano, Vilano, San Rocco, Palazzo, Tranquillo"
Comuni confinanti,"Cagli, Frontone, Gubbio (PG), Scheggia e Pascelupo (PG)"
Altre informazioni,Altre informazioni
Cod. postale,61044
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041008
Cod. catastale,B636
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 363 GG[3]"
Nome abitanti,cantianesi
Patrono,"san Giovanni Battista, Madonna della Misericordia"
Giorno festivo,"24 giugno, 4ª domenica di agosto"
Cartografia,Cartografia
Cantiano,Cantiano
Cantiano – MappaPosizione del comune di Cantiano nella provincia di Pesaro e Urbino,Cantiano – MappaPosizione del comune di Cantiano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
