Macerata Feltria comune,Macerata Feltria comune.1
,
Macerata Feltria – Veduta,Macerata Feltria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Massimiliano Gorgolini (lista civica di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°48′11.99″N 12°26′30.66″E
Altitudine,321 m s.l.m.
Superficie,"40,07 km²"
Abitanti,1 882[1] (30-11-2025)
Densità,"46,97 ab./km²"
Frazioni,"Apsa, Ca' Antonio, Carcangelone, Carignano, Castellina, Certalto, Faggiola, Mondagano, Pieve, Santa Lucia, Santa Maria Valcava, San Teodoro, San Vicino[2]"
Comuni confinanti,"Lunano, Monte Cerignone, Montecopiolo (RN), Monte Grimano Terme, Piandimeleto, Pietrarubbia, Sassocorvaro Auditore"
Altre informazioni,Altre informazioni
Cod. postale,61023
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041023
Cod. catastale,E785
Targa,PU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 331 GG[4]"
Nome abitanti,maceratini
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
PIL procapite,"(nominale) 18,781 € (2023)[5]"
Cartografia,Cartografia
Macerata Feltria,Macerata Feltria
Macerata Feltria – MappaPosizione del comune di Macerata Feltria nella provincia di Pesaro e Urbino,Macerata Feltria – MappaPosizione del comune di Macerata Feltria nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
