Gabicce Mare comune,Gabicce Mare comune.1
,
Gabicce Mare – Veduta,Gabicce Mare – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Marila Girolomoni (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°58′00.62″N 12°45′22.54″E
Altitudine,11 m s.l.m.
Superficie,"4,94 km²"
Abitanti,5 419[1] (30-11-2025)
Densità,"1 096,96 ab./km²"
Frazioni,"Baia Vallugola, Case Badioli, Gabicce Monte, Ponte Tavollo, Vigna del Mare"
Comuni confinanti,"Cattolica (RN), Gradara, Pesaro"
Altre informazioni,Altre informazioni
Cod. postale,61011
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,041019
Cod. catastale,D836
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 114 GG[3]"
Nome abitanti,gabiccesi
Patrono,sant'Ermete martire
Giorno festivo,28 agosto
Cartografia,Cartografia
Gabicce Mare,Gabicce Mare
Gabicce Mare – MappaPosizione del comune di Gabicce Mare nella provincia di Pesaro e Urbino,Gabicce Mare – MappaPosizione del comune di Gabicce Mare nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
