Fermignano comune,Fermignano comune.1
,
Fermignano – Veduta,Fermignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Emanuele Feduzi (lista civica di centro-sinistra) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,18 febbraio 1818
Territorio,Territorio
Coordinate,43°40′35.82″N 12°38′42.14″E
Altitudine,200 m s.l.m.
Superficie,"43,7 km²"
Abitanti,8 268[1] (30-11-2025)
Densità,"189,2 ab./km²"
Frazioni,"Bivio Borzaga, Ca' l'Agostina, Calpino, San Silvestro, Santa Barbara, Pagino, Ca' Vanzino, La Pieve, Villa del Furlo"
Comuni confinanti,"Acqualagna, Cagli, Fossombrone, Urbania, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61033
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041014
Cod. catastale,D541
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 233 GG[3]"
Nome abitanti,fermignanesi
Patrono,santa Veneranda
Giorno festivo,26 luglio
PIL procapite,"(nominale) 20,022 € (2023)[4]"
Cartografia,Cartografia
Fermignano,Fermignano
Fermignano – MappaPosizione del comune di Fermignano nella provincia di Pesaro e Urbino,Fermignano – MappaPosizione del comune di Fermignano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
