Serra Sant'Abbondio comune,Serra Sant'Abbondio comune.1
,
Serra Sant'Abbondio – VedutaVeduta del Monastero di Fonte Avellana.,Serra Sant'Abbondio – VedutaVeduta del Monastero di Fonte Avellana.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Ludovico Caverni (lista civica Uniti per Serra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°29′26.95″N 12°46′14.23″E
Altitudine,523 m s.l.m.
Superficie,"32,8 km²"
Abitanti,849[1] (30-11-2025)
Densità,"25,88 ab./km²"
Frazioni,"Colombara, Leccia, Montevecchio, Petrara, Piccione, Poggetto, Villa"
Comuni confinanti,"Frontone, Pergola, Sassoferrato (AN), Scheggia e Pascelupo (PG)"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041061
Cod. catastale,I654
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 356 GG[3]"
Nome abitanti,serrani
Patrono,sant'Abbondio
Giorno festivo,16 settembre
Cartografia,Cartografia
Serra Sant'Abbondio,Serra Sant'Abbondio
Serra Sant'Abbondio – MappaPosizione del comune di Serra Sant'Abbondio nella provincia di Pesaro e Urbino,Serra Sant'Abbondio – MappaPosizione del comune di Serra Sant'Abbondio nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
