Pesaro comune,Pesaro comune.1
,
Pesaro – Veduta,Pesaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Andrea Biancani (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,43°54′36.54″N 12°54′47.88″E
Altitudine,11 m s.l.m.
Superficie,"126,77 km²"
Abitanti,95 244[1] (30-11-2025)
Densità,"751,31 ab./km²"
Frazioni,"Borgo Santa Maria, Candelara, Case Bruciate, Casteldimezzo, Cattabrighe, Chiusa di Ginestreto, Colombarone, Fiorenzuola di Focara, Ginestreto, Monteciccardo, Novilara, Ponte Valle, Pozzo Alto, Santa Maria dell'Arzilla, Santa Marina Alta, Santa Veneranda, Trebbiantico, Tre Ponti, Villa Ceccolini, Villa Fastiggi, Villa San Martino[2]"
Comuni confinanti,"Colli al Metauro, Fano, Gabicce Mare, Gradara, Mombaroccio, Montefelcino, Montelabbate, Tavullia, Urbino, Vallefoglia"
Altre informazioni,Altre informazioni
Cod. postale,61121–61122
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041044
Cod. catastale,G479
Targa,PU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 083 GG[4]"
Nome abitanti,pesaresi
Patrono,san Terenzio di Pesaro
Giorno festivo,24 settembre
Soprannome,"Città della bicicletta, Città della musica[5][6]"
Motto,(LA) Perpetva et firma fidelitas (IT) Fedeltà salda e perenne
Cartografia,Cartografia
Pesaro,Pesaro
Pesaro – MappaPosizione del comune di Pesaro nella provincia di Pesaro e Urbino,Pesaro – MappaPosizione del comune di Pesaro nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
