Carpegna comune,Carpegna comune.1
,
Carpegna – Veduta,Carpegna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Mirco Ruggeri (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°46′54.12″N 12°20′11.94″E
Altitudine,748 m s.l.m.
Superficie,"28,94 km²"
Abitanti,1 675[1] (30-11-2025)
Densità,"57,88 ab./km²"
Frazioni,"Genghe, Le Frazioni, Pietrino, Passo Cantoniera, Palazzaccio, Torre Fossati"
Comuni confinanti,"Belforte all'Isauro, Borgo Pace, Frontino, Mercatello sul Metauro, Montecopiolo (RN), Pennabilli (RN), Piandimeleto, Pietrarubbia, Sant'Angelo in Vado, Sestino (AR)"
Altre informazioni,Altre informazioni
Cod. postale,61021
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041009
Cod. catastale,B816
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 874 GG[3]"
Nome abitanti,carpegnoli
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
PIL procapite,(nominale) 18445 € (2023)[4]
Cartografia,Cartografia
Carpegna,Carpegna
Carpegna – MappaPosizione del comune di Carpegna nella provincia di Pesaro e Urbino,Carpegna – MappaPosizione del comune di Carpegna nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
