Cellino Attanasio comune,Cellino Attanasio comune.1
,
Cellino Attanasio – Veduta,Cellino Attanasio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Giuseppe Del Papa[1] (lista civica Idee in comune) dal 26-5-2014
Territorio,Territorio
Coordinate,42°35′N 13°52′E
Altitudine,443 m s.l.m.
Superficie,"43,94 km²"
Abitanti,2 180[2] (30-11-2025)
Densità,"49,61 ab./km²"
Frazioni,"Artemisio, Ciafette, Faiete, Feudi, Luciani, Mammine, Matani, Minghetti, Monteverde, Petrilli, San Clemente, San Martino, San Pietro, Scorrano, Stampalone, Valviano"
Comuni confinanti,"Atri, Bisenti, Castellalto, Castiglione Messer Raimondo, Cermignano, Montefino, Notaresco"
Altre informazioni,Altre informazioni
Cod. postale,64036
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067015
Cod. catastale,C449
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 134 GG[4]"
Nome abitanti,cellinesi
Patrono,Sant'Atanasio
Giorno festivo,2 maggio
PIL,(nominale) 41 mln €[5]
PIL procapite,(nominale) 16 384 €[5]
Cartografia,Cartografia
Cellino Attanasio,Cellino Attanasio
Cellino Attanasio – MappaPosizione del comune di Cellino Attanasio all'interno della provincia di Teramo,Cellino Attanasio – MappaPosizione del comune di Cellino Attanasio all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
