Morro d'Oro comune,Morro d'Oro comune.1
,
Morro d'Oro – VedutaVeduta della piazza e della chiesa di Santa Maria di Propezzano,Morro d'Oro – VedutaVeduta della piazza e della chiesa di Santa Maria di Propezzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Romina Sulpizii[1] (lista civica Uniti per Morro d'Oro) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°40′N 13°55′E
Altitudine,210 m s.l.m.
Superficie,"28,73 km²"
Abitanti,3 520[2] (30-11-2025)
Densità,"122,52 ab./km²"
Frazioni,"Case di Bonaventura, Case Merluzzi, Acquasanta, Razzano, San Pietro, Torrenera, Sant'Antonio, Trapannara, Case Sacchetti, Capo le Coste, Case di Pasquale, Case Cavicchi, Piano Cesare, Cancrini, Colle di Mezzo, Case Romani, Propezzano, Colle della Croce, Pagliare Vecchia, Pagliare"
Comuni confinanti,"Atri, Notaresco, Roseto degli Abruzzi"
Altre informazioni,Altre informazioni
Cod. postale,64020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,067029
Cod. catastale,F747
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 649 GG[4]"
Nome abitanti,morresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Morro d'Oro,Morro d'Oro
Morro d'Oro – MappaPosizione del comune di Morro d'Oro all'interno della provincia di Teramo,Morro d'Oro – MappaPosizione del comune di Morro d'Oro all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
