Civitella del Tronto comune,Civitella del Tronto comune.1
,
Civitella del Tronto – VedutaVista della Fortezza,Civitella del Tronto – VedutaVista della Fortezza
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Cristina Di Pietro (lista civica Cittadini in comune) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,42°46′19″N 13°40′00″E
Altitudine,589 m s.l.m.
Superficie,"77,74 km²"
Abitanti,4 549[1] (30-11-2025)
Densità,"58,52 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Ascoli Piceno (AP), Campli, Folignano (AP), Sant'Egidio alla Vibrata, Sant'Omero, Valle Castellana"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067017
Cod. catastale,C781
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 327 GG[3]"
Nome abitanti,civitellesi
Patrono,sant'Ubaldo
Giorno festivo,16 maggio
Soprannome,la Fedelissima
Cartografia,Cartografia
Civitella del Tronto,Civitella del Tronto
Civitella del Tronto – MappaPosizione del comune di Civitella del Tronto all'interno della provincia di Teramo,Civitella del Tronto – MappaPosizione del comune di Civitella del Tronto all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
