Colledara comune,Colledara comune.1
,
Colledara – VedutaChiesa di San Michele Arcangelo,Colledara – VedutaChiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Manuele Tiberii[1] (lista civica Colledara si rinnova insieme) dal 26-5-2014
Territorio,Territorio
Coordinate,42°33′11.14″N 13°41′11.23″E
Altitudine,430 m s.l.m.
Superficie,"18,01 km²"
Abitanti,2 080[2] (30-11-2025)
Densità,"115,49 ab./km²"
Frazioni,"Bascianella, Capo di Colle, Castiglione della Valle, Chiovano, Collecastino, Villa Ilii, Ornano Grande, Ornano Piccolo, Pantani, Pizzicato, Sbarra, Vico, Villapetto"
Comuni confinanti,"Basciano, Castel Castagna, Isola del Gran Sasso d'Italia, Montorio al Vomano, Tossicia"
Altre informazioni,Altre informazioni
Cod. postale,64042
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067018
Cod. catastale,C311
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 065 GG[4]"
Nome abitanti,colledaresi
Patrono,Nostra Signora di Costantinopoli
Giorno festivo,Lunedì dopo Pentecoste
Cartografia,Cartografia
Colledara,Colledara
Colledara – MappaPosizione del comune di Colledara nella provincia di Teramo,Colledara – MappaPosizione del comune di Colledara nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
