Corropoli comune,Corropoli comune.1
,
Corropoli – Veduta,Corropoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Dantino Vallese (lista civica di centro-destra Corropoli cresce) dal 27-5-2019
Territorio,Territorio
Coordinate,42°50′N 13°50′E
Altitudine,120 m s.l.m.
Superficie,"22,11 km²"
Abitanti,5 161[1] (30-11-2025)
Densità,"233,42 ab./km²"
Frazioni,"Accattapane, Centro Storico, Centurati, Colle Mejulano, Gabbiano, Montagnola, Pianagallo, Piane san Donato, Ravigliano, Ripoli, Vibrata"
Comuni confinanti,"Alba Adriatica, Colonnella, Controguerra, Nereto, Sant'Omero, Tortoreto"
Altre informazioni,Altre informazioni
Cod. postale,64013
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067021
Cod. catastale,D043
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 434 GG[3]"
Nome abitanti,corropolesi
Patrono,sant'Agnese
Giorno festivo,21 gennaio
Cartografia,Cartografia
Corropoli,Corropoli
Corropoli – MappaPosizione del comune di Corropoli all'interno della provincia di Teramo,Corropoli – MappaPosizione del comune di Corropoli all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
