Montorio al Vomano comune,Montorio al Vomano comune.1
,
Montorio al Vomano – VedutaCentro storico,Montorio al Vomano – VedutaCentro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Fabio Altitonante (Forza Italia) dal 22-9-2020
Territorio,Territorio
Coordinate,42°35′N 13°38′E
Altitudine,262 m s.l.m.
Superficie,"53,57 km²"
Abitanti,7 343[1] (30-11-2025)
Densità,"137,07 ab./km²"
Frazioni,"Altavilla, Case Vernesi, Colledonico, Collevecchio, Cusciano, Faiano, Leognano, Piane di Collevecchio, San Lorenzo, San Giovanni, San Mauro, Schiaviano, Villa Brozzi,Valle cupa, Villa Maggiore, Villa Vallucci,"
Comuni confinanti,"Basciano, Colledara, Cortino, Crognaleto, Fano Adriano, Teramo, Tossicia"
Altre informazioni,Altre informazioni
Cod. postale,64046
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067028
Cod. catastale,F690
Targa,TE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 744 GG[3]"
Nome abitanti,montoriesi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL,"(nominale) 130,7 mln €[4]"
PIL procapite,(nominale) 16 715 €[4]
Cartografia,Cartografia
Montorio al Vomano,Montorio al Vomano
Montorio al Vomano – MappaPosizione del comune di Montorio al Vomano nella provincia di Teramo,Montorio al Vomano – MappaPosizione del comune di Montorio al Vomano nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
