Martinsicuro comune,Martinsicuro comune.1
,
Martinsicuro – VedutaLa chiesa del Sacro Cuore,Martinsicuro – VedutaLa chiesa del Sacro Cuore
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,"Massimo Vagnoni (Coalizione di liste civiche Martin Rosa, Progetto Comune, Continuiamo Insieme) dal 25-6-2017 (2º mandato dal 12-6-2022)"
Data di istituzione,1963
Territorio,Territorio
Coordinate,42°53′06.48″N 13°54′57.57″E
Altitudine,2 m s.l.m.
Superficie,"14,66 km²"
Abitanti,16 455[1] (30-11-2025)
Densità,"1 122,44 ab./km²"
Frazioni,Villa Rosa
Comuni confinanti,"Alba Adriatica, Colonnella, Monteprandone (AP), San Benedetto del Tronto (AP)"
Altre informazioni,Altre informazioni
Cod. postale,64014
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067047
Cod. catastale,E989
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 201 GG[3]"
Nome abitanti,martinsicuresi
Patrono,san Gabriele dell'Addolorata
Giorno festivo,27 febbraio
PIL,"(nominale) 247,7 mln € (2021)[4]"
PIL procapite,"(nominale) 15 340,3 € (2021)[4]"
Cartografia,Cartografia
Martinsicuro,Martinsicuro
Martinsicuro – MappaPosizione del comune di Martinsicuro all'interno della provincia di Teramo,Martinsicuro – MappaPosizione del comune di Martinsicuro all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
