Torricella Sicura comune,Torricella Sicura comune.1
,
Torricella Sicura – VedutaPanorama,Torricella Sicura – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Daniele Palumbi[1] (lista civica di centro-destra Torricella nel futuro) dal 14-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°39′36″N 13°39′29″E
Altitudine,437 m s.l.m.
Superficie,"54,38 km²"
Abitanti,2 359[2] (30-11-2025)
Densità,"43,38 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Campli, Cortino, Rocca Santa Maria, Teramo, Valle Castellana"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067043
Cod. catastale,L295
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 055 GG[4]"
Nome abitanti,torricellesi
Patrono,san Paolo apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Torricella Sicura,Torricella Sicura
Torricella Sicura – MappaPosizione del comune di Torricella Sicura nella provincia di Teramo,Torricella Sicura – MappaPosizione del comune di Torricella Sicura nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
