Cermignano comune,Cermignano comune.1
,
Cermignano – Veduta,Cermignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Elisa Marchiselli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°35′N 13°48′E
Altitudine,563 m s.l.m.
Superficie,"26,36 km²"
Abitanti,1 394[1] (30-11-2025)
Densità,"52,88 ab./km²"
Frazioni,"Carbone di Cermignano, Casamarano, Casavino, Montegualtieri, Petriola, Piomba, Poggio delle Rose, Santa Maria, Saputelli, Topetti, villa Compagni, villa Santa Maria di Cermignano"
Comuni confinanti,"Bisenti, Canzano, Castel Castagna, Castellalto, Cellino Attanasio, Penna Sant'Andrea, Teramo"
Altre informazioni,Altre informazioni
Cod. postale,64037
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067016
Cod. catastale,C517
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 281 GG[3]"
Nome abitanti,cermignanesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Cermignano,Cermignano
Cermignano – MappaPosizione del comune di Cermignano all'interno della provincia di Teramo,Cermignano – MappaPosizione del comune di Cermignano all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
