Castel Castagna comune,Castel Castagna comune.1
,
Castel Castagna – VedutaVista di Castel Castagna,Castel Castagna – VedutaVista di Castel Castagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Rosanna De Antoniis[1] (lista civica Insieme per Castel Castagna) dal 31-5-2015
Territorio,Territorio
Coordinate,42°33′N 13°43′E
Altitudine,452 m s.l.m.
Superficie,"18,16 km²"
Abitanti,401[2] (30-11-2025)
Densità,"22,08 ab./km²"
Frazioni,"Bivio Castel Castagna, Castagna Vecchia, Chiavoni, Ronzano, Scaricasale, Vasto, Villa Ruzzi"
Comuni confinanti,"Basciano, Bisenti, Castelli, Cermignano, Colledara, Isola del Gran Sasso d'Italia, Penna Sant'Andrea"
Altre informazioni,Altre informazioni
Cod. postale,64030
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067010
Cod. catastale,C040
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 104 GG[4]"
Nome abitanti,castagnoli
Patrono,San Pietro Martire
Giorno festivo,29 aprile
Cartografia,Cartografia
Castel Castagna,Castel Castagna
Castel Castagna – MappaPosizione del comune di Castel Castagna all'interno della provincia di Teramo,Castel Castagna – MappaPosizione del comune di Castel Castagna all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
