Castiglione Messer Raimondo comune,Castiglione Messer Raimondo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Vincenzo D'Ercole (lista civica Il paese che vorrei) dal 27-5-2019
Territorio,Territorio
Coordinate,42°32′N 13°53′E
Altitudine,306 m s.l.m.
Superficie,"30,69 km²"
Abitanti,1 962[1] (30-11-2025)
Densità,"63,93 ab./km²"
Frazioni,"Appignano, Borea Santa Maria, Bozzano, Cesi, Colletrimarino, Piane, San Giorgio, Vorghe"
Comuni confinanti,"Bisenti, Castilenti, Cellino Attanasio, Montefino, Penne (PE)"
Altre informazioni,Altre informazioni
Cod. postale,64034
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067013
Cod. catastale,C316
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 908 GG[3]"
Nome abitanti,castiglionesi
Patrono,san Donato Martire
Giorno festivo,7 agosto
Cartografia,Cartografia
Castiglione Messer Raimondo,Castiglione Messer Raimondo
Castiglione Messer Raimondo – MappaPosizione del comune di Castiglione Messer Raimondo all'interno della provincia di Teramo,Castiglione Messer Raimondo – MappaPosizione del comune di Castiglione Messer Raimondo all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
