Ancarano comune,Ancarano comune.1
,
Ancarano – VedutaMunicipio,Ancarano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Angelo Panichi[1] (lista civica Civica Ancaria - Per continuare insieme) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°50′13″N 13°44′25″E
Altitudine,295 m s.l.m.
Superficie,"13,92 km²"
Abitanti,1 875[2] (30-11-2025)
Densità,"134,7 ab./km²"
Frazioni,"Casette, Madonna della Carità, Tronto (zona industriale), Collina"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067002
Cod. catastale,A270
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 797 GG[4]"
Nome abitanti,ancaranesi
Patrono,san Simplicio[5]
Giorno festivo,29 luglio
Cartografia,Cartografia
Ancarano,Ancarano
Ancarano – MappaPosizione del comune di Ancarano all'interno della provincia di Teramo,Ancarano – MappaPosizione del comune di Ancarano all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
