Cortino comune,Cortino comune.1
,
"Cortino – VedutaCortino sotto la neve, sullo sfondo l'abetina. In basso a destra l'abitato di Comignano","Cortino – VedutaCortino sotto la neve, sullo sfondo l'abetina. In basso a destra l'abitato di Comignano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Marco Tiberii (lista civica Noi per Cortino) dal 4-10-2021
Territorio,Territorio
Coordinate,42°37′18.7″N 13°30′27.86″E
Altitudine,982 m s.l.m.
Superficie,"62,95 km²"
Abitanti,542[1] (30-11-2025)
Densità,"8,61 ab./km²"
Frazioni,"Agnova, Altovia, Caiano, Casagreca, Casanova, Collegilesco, Comignano, Cunetta, Elce, Faieto, Fonte Palumbo, Lame, Macchiatornella, Pagliaroli, Padula, Pezzelle, Piano Fiumata, Servillo, Vernesca"
Comuni confinanti,"Amatrice (RI), Crognaleto, Montorio al Vomano, Rocca Santa Maria, Teramo, Torricella Sicura"
Altre informazioni,Altre informazioni
Cod. postale,64040
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067022
Cod. catastale,D076
Targa,TE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 031 GG[3]"
Nome abitanti,cortinesi
Cartografia,Cartografia
Cortino,Cortino
Cortino – MappaPosizione del comune di Cortino nella provincia di Teramo,Cortino – MappaPosizione del comune di Cortino nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
