Valle Castellana comune,Valle Castellana comune.1
,
Valle Castellana – Veduta,Valle Castellana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Camillo D'Angelo[1] (lista civica Montagna è futuro) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°44′N 13°30′E
Altitudine,625 m s.l.m.
Superficie,"131,76[2] km²"
Abitanti,818[3] (30-11-2025)
Densità,"6,21 ab./km²"
Frazioni,"Basto, Cannavine, Capolaterra, Ceraso, Cerquito, Cerro, Cesalunga, Cesano, Colle San Sisto, Collegrato, Corano, Coronelle, Corvino, Fornisco, Laturo, Leofara, Lepora, Macchia da Borea, Macchia da Sole, Mattere, Morrice, Olmeto, Pascellata, Piano Maggiore, Pietralta, Pizzo, Prevenisco, Rio di Lame, San Giacomo, San Vito, Santa Rufina, Serra, Settecerri, Stivigliano, Vallecchia, Vallefara, Vallenquina, Valle Pezzata"
Comuni confinanti,"Accumoli (RI), Acquasanta Terme (AP), Amatrice (RI), Arquata del Tronto (AP), Ascoli Piceno (AP), Campli, Civitella del Tronto, Rocca Santa Maria, Torricella Sicura"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067046
Cod. catastale,L597
Targa,TE
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 392 GG[5]"
Nome abitanti,vallecastellanesi o pianaroli (dal nome del capoluogo Piano Santa Annunziata)
Patrono,Maria santissima Annunziata
Giorno festivo,25 marzo
PIL,(nominale) 16 mln €[6]
PIL procapite,(nominale) 15 893 €[6]
Cartografia,Cartografia
Valle Castellana,Valle Castellana
Valle Castellana – MappaPosizione del comune di Valle Castellana nella provincia di Teramo,Valle Castellana – MappaPosizione del comune di Valle Castellana nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
