Rocca Santa Maria comune,Rocca Santa Maria comune.1
,
Rocca Santa Maria – VedutaChiesa di San Flaviano in contrada Tavolero,Rocca Santa Maria – VedutaChiesa di San Flaviano in contrada Tavolero
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Lino Di Giuseppe[1] (lista civica La montagna un bene comune) dal 26-5-2014
Territorio,Territorio
Coordinate,42°41′N 13°32′E
Altitudine,1 073 m s.l.m.
Superficie,"61,8 km²"
Abitanti,452[2] (30-11-2025)
Densità,"7,31 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Amatrice (RI), Cortino, Torricella Sicura, Valle Castellana"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067036
Cod. catastale,H440
Targa,TE
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 193 GG[4]"
Nome abitanti,roccolani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Rocca Santa Maria,Rocca Santa Maria
Rocca Santa Maria – MappaPosizione del comune di Rocca Santa Maria nella provincia di Teramo,Rocca Santa Maria – MappaPosizione del comune di Rocca Santa Maria nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
