Bellante comune,Bellante comune.1
,
Bellante – Veduta,Bellante – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Giovanni Melchiorre (PD) dal 5-6-2016
Territorio,Territorio
Coordinate,42°45′N 13°48′E
Altitudine,354 m s.l.m.
Superficie,"50,04 km²"
Abitanti,6 837[1] (30-11-2025)
Densità,"136,63 ab./km²"
Frazioni,"Bellante Stazione, Chiareto di Bellante, Collerenti, Molino San Nicola, Penna alta, Penna bassa, Ripattoni (o Ripattone), San Mauro, Sant'Angelo a Marano, Sant'Arcangelo, Villa Ardente, Villa Casalena, Villa Rasicci"
Comuni confinanti,"Campli, Castellalto, Mosciano Sant'Angelo, Sant'Omero, Teramo"
Altre informazioni,Altre informazioni
Cod. postale,64020
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067006
Cod. catastale,A746
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 906 GG[3]"
Nome abitanti,bellantesi
Patrono,sant'Atanasio
Giorno festivo,2 maggio
PIL,"(nominale) 104,3 mln €[4]"
PIL procapite,(nominale) 15 162 €[4]
Cartografia,Cartografia
Bellante,Bellante
Bellante – MappaPosizione del comune di Bellante all'interno della provincia di Teramo,Bellante – MappaPosizione del comune di Bellante all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
