Mosciano Sant'Angelo comune,Mosciano Sant'Angelo comune.1
,
"Mosciano Sant'Angelo – VedutaTorre Acquaviva (1397), campanile della chiesa di San Michele","Mosciano Sant'Angelo – VedutaTorre Acquaviva (1397), campanile della chiesa di San Michele"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Giuliano Galiffi (PD) dal 26-5-2014
Territorio,Territorio
Coordinate,42°45′N 13°53′E
Altitudine,227 m s.l.m.
Superficie,"48,45 km²"
Abitanti,9 219[1] (30-11-2025)
Densità,"190,28 ab./km²"
Frazioni,Montone
Comuni confinanti,"Bellante, Castellalto, Giulianova, Notaresco, Roseto degli Abruzzi, Sant'Omero, Tortoreto"
Altre informazioni,Altre informazioni
Cod. postale,64023
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,067030
Cod. catastale,F764
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 604 GG[3]"
Nome abitanti,moscianesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
PIL,"(nominale) 82,9 mln €[4]"
PIL procapite,(nominale) 15 950 €[4]
Cartografia,Cartografia
Mosciano Sant'Angelo,Mosciano Sant'Angelo
Mosciano Sant'Angelo – MappaPosizione del comune di Mosciano Sant'Angelo all'interno della provincia di Teramo,Mosciano Sant'Angelo – MappaPosizione del comune di Mosciano Sant'Angelo all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
