Atri comune,Atri comune.1
,
"Atri – VedutaIl Duomo di Atri, simbolo della città","Atri – VedutaIl Duomo di Atri, simbolo della città"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Piergiorgio Ferretti (lista civica Per Atri) dal 10-6-2024
Territorio,Territorio
Coordinate,42°35′N 13°59′E
Altitudine,442 m s.l.m.
Superficie,"92,18 km²"
Abitanti,9 803[1] (30-11-2025)
Densità,"106,35 ab./km²"
Frazioni,"Casoli, Fontanelle, San Giacomo, Santa Margherita, Villa Ferretti, Treciminiere, Paterno, Cagno, Montagnola, Cavalieri, Cona, Colle Pelato, Colle della Giustizia, Colle Petitto,"
Comuni confinanti,"Castilenti, Cellino Attanasio, Città Sant'Angelo (PE), Elice (PE), Montefino, Morro d'Oro, Notaresco, Pineto, Roseto degli Abruzzi, Silvi"
Altre informazioni,Altre informazioni
Cod. postale,64032
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,067004
Cod. catastale,A488
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 068 GG[3]"
Nome abitanti,atriani
Patrono,santa Reparata di Cesarea di Palestina
Giorno festivo,8 giorni dopo Pasqua
PIL,"(nominale) 168,5 mln € (2021)[4]"
PIL procapite,"(nominale) 16 744,5 € (2021)[4]"
Motto,"Hatria Civitas Vetusta ""Atri città antica"""
Cartografia,Cartografia
Atri,Atri
Atri – MappaPosizione del comune di Atri all'interno della provincia di Teramo,Atri – MappaPosizione del comune di Atri all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
