Campli comune,Campli comune.1
,
Campli – VedutaVista della piazza principale del paese,Campli – VedutaVista della piazza principale del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Federico Agostinelli[1] (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,42°43′34.07″N 13°41′09.92″E
Altitudine,393 m s.l.m.
Superficie,"73,43 km²"
Abitanti,6 609[2] (30-11-2025)
Densità,90 ab./km²
Frazioni,"Battaglia, Boceto, Campiglio, Campovalano, Case Fulgenzi, Cesenà, Coccioli, Cognoli, Colli, Collicelli, Fichieri, Floriano, Fonte a Collina, Friscoli, Gagliano, Garrufo, Guazzano, I Cappuccini, La Traversa, Marrocchi, Masseri, Molviano, Morge, Nocella, Paduli, Pagannoni superiore e inferiore, Pastinella, Paterno, Piancarani, Plicati, Prognoli, Roiano, Sant'Onofrio, Terrabianca, Trinità, Villa Camera, Villa Penna"
Comuni confinanti,"Bellante, Civitella del Tronto, Sant'Omero, Teramo, Torricella Sicura, Valle Castellana"
Altre informazioni,Altre informazioni
Cod. postale,64012
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067008
Cod. catastale,B515
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 045 GG[4]"
Nome abitanti,camplesi
Patrono,san Pancrazio
Giorno festivo,12 maggio
PIL,"(nominale) 101,5 mln €[5]"
PIL procapite,(nominale) 14 861 €[5]
Cartografia,Cartografia
Campli,Campli
Campli – MappaPosizione del comune di Campli nella provincia di Teramo,Campli – MappaPosizione del comune di Campli nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
