Torano Nuovo comune,Torano Nuovo comune.1
,
Torano Nuovo – Veduta,Torano Nuovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Anna Ciammariconi (lista civica Bella Torano Nuovo) dal 27-5-2019
Territorio,Territorio
Coordinate,42°49′N 13°47′E
Altitudine,237 m s.l.m.
Superficie,"10,22 km²"
Abitanti,1 439[1] (30-11-2025)
Densità,"140,8 ab./km²"
Frazioni,"Petrella, Valle Santa Maria, Villa Bizzarri"
Comuni confinanti,"Ancarano, Controguerra, Nereto, Sant'Egidio alla Vibrata, Sant'Omero"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067042
Cod. catastale,L207
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 621 GG[3]"
Nome abitanti,toranesi
Patrono,"san Flaviano, Patriarca di Costantinopoli e Martire"
Giorno festivo,24 novembre
Cartografia,Cartografia
Torano Nuovo,Torano Nuovo
Torano Nuovo – MappaPosizione del comune di Torano Nuovo all'interno della provincia di Teramo,Torano Nuovo – MappaPosizione del comune di Torano Nuovo all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
