Teramo comune,Teramo comune.1
,
Teramo – VedutaVista aerea del centro storico di Teramo,Teramo – VedutaVista aerea del centro storico di Teramo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Gianguido D'Alberto (indipendente di centro-sinistra) dal 28-6-2018 (2º mandato dal 23-5-2023)
Territorio,Territorio
Coordinate,42°39′31.87″N 13°42′14.08″E
Altitudine,265 m s.l.m.
Superficie,"152,84 km²"
Abitanti,51 442[1] (30-11-2025)
Densità,"336,57 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Basciano, Bellante, Campli, Canzano, Castellalto, Cermignano, Cortino, Montorio al Vomano, Penna Sant'Andrea, Torricella Sicura"
Altre informazioni,Altre informazioni
Cod. postale,64100
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067041
Cod. catastale,L103
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 834 GG[3]"
Nome abitanti,teramani
Patrono,san Berardo vescovo
Giorno festivo,19 dicembre
PIL,"(nominale) 1 056,2 mln € (2021)[4]"
PIL procapite,"(nominale) 20 354,8 € (2021)[4]"
Cartografia,Cartografia
Teramo,Teramo
Teramo – MappaPosizione del comune di Teramo nella provincia omonima,Teramo – MappaPosizione del comune di Teramo nella provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
