Tortoreto comune,Tortoreto comune.1
,
Tortoreto – VedutaPanorama di Tortoreto Alta,Tortoreto – VedutaPanorama di Tortoreto Alta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Domenico Piccioni (Lista civica di centro-destra SI Amo Tortoreto) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,42°48′N 13°55′E
Altitudine,227 m s.l.m.
Superficie,"22,97 km²"
Abitanti,12 210[1] (30-11-2025)
Densità,"531,56 ab./km²"
Frazioni,"Tortoreto Alta, Tortoreto Lido, Cavatassi, Salino, Terrabianca[2]"
Comuni confinanti,"Alba Adriatica, Corropoli, Giulianova, Mosciano Sant'Angelo, Sant'Omero"
Altre informazioni,Altre informazioni
Cod. postale,64018
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067044
Cod. catastale,L307
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 625 GG[4]"
Nome abitanti,tortoretani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
PIL,(nominale) 213 mln € (2021)[5]
PIL procapite,"(nominale) 18 028,1 € (2021)[5]"
Cartografia,Cartografia
Tortoreto,Tortoreto
Tortoreto – MappaPosizione del comune di Tortoreto all'interno della provincia di Teramo,Tortoreto – MappaPosizione del comune di Tortoreto all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
