Provincia di Teramo provincia,Provincia di Teramo provincia.1
,
"Provincia di Teramo – VedutaEntroterra teramano visto dal belvedere di Atri, antica sede del Ducato degli Acquaviva","Provincia di Teramo – VedutaEntroterra teramano visto dal belvedere di Atri, antica sede del Ducato degli Acquaviva"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Amministrazione,Amministrazione
Capoluogo,Teramo
Presidente,Camillo D'Angelo[1] (indipendente) dal 29-1-2023
Data di istituzione,8 agosto 1806
Territorio,Territorio
Coordinate del capoluogo,42°39′31″N 13°42′09″E
Superficie,"1 954,38 km²"
Abitanti,299 935[2] (30-9-2025)
Densità,"153,47 ab./km²"
Comuni,47 comuni
Province confinanti,"Ascoli Piceno, Pescara, L'Aquila, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,64100 (solo Teramo città)
Prefisso,"0861, 085"
Fuso orario,UTC+1
ISO 3166-2,IT-TE
Codice ISTAT,067
Targa,TE
PIL,"(nominale) 7 671,42 mln €[3](2021)"
PIL procapite,(nominale) 25 601 €[3](2021)
Cartografia,Cartografia
Provincia di Teramo – Localizzazione,Provincia di Teramo – Localizzazione
Provincia di Teramo – MappaPosizione della provincia di Teramo all'interno dell'Abruzzo.,Provincia di Teramo – MappaPosizione della provincia di Teramo all'interno dell'Abruzzo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
