Pineto comune,Pineto comune.1
,
Pineto – VedutaChiesa di Sant'Agnese e San Silvestro,Pineto – VedutaChiesa di Sant'Agnese e San Silvestro
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Alberto Dell’Orletta (lista civica) dal 10-6-2024
Data di istituzione,28 marzo 1929
Territorio,Territorio
Coordinate,42°37′N 14°04′E
Altitudine,4 m s.l.m.
Superficie,"38,11 km²"
Abitanti,14 787[1] (30-11-2025)
Densità,"388,01 ab./km²"
Frazioni,"Borgo Santa Maria, Mutignano, Scerne, Torre del Cerrano, Torre San Rocco, Villa Fumosa[2]"
Comuni confinanti,"Atri, Roseto degli Abruzzi, Silvi"
Altre informazioni,Altre informazioni
Cod. postale,64025
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,067035
Cod. catastale,F831
Targa,TE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 280 GG[4]"
Nome abitanti,pinetesi
Patrono,sant'Agnese
Giorno festivo,21 gennaio
PIL,"(nominale) 241,4 mln € (2021)[5]"
PIL procapite,"(nominale) 16 679,2 € (2021)[5]"
Motto,"Pinetum Civitas Viridis ""Pineto città verde"""
Cartografia,Cartografia
Pineto,Pineto
Pineto – MappaPosizione del comune di Pineto all'interno della provincia di Teramo,Pineto – MappaPosizione del comune di Pineto all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
