Rezzo comune,Rezzo comune.1
,
Rezzo – VedutaPanorama di Rezzo,Rezzo – VedutaPanorama di Rezzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Renato Adorno (lista civica Quattro piazze un territorio) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°01′13.45″N 7°52′19.31″E
Altitudine,563 m s.l.m.
Superficie,"37,37 km²"
Abitanti,312[1] (30-11-2025)
Densità,"8,35 ab./km²"
Frazioni,"Cenova, Lavina"
Comuni confinanti,"Aurigo, Borgomaro, Molini di Triora, Montalto Carpasio, Montegrosso Pian Latte, Pieve di Teco, Pornassio"
Altre informazioni,Altre informazioni
Cod. postale,18026
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008049
Cod. catastale,H257
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 499 GG[3]"
Nome abitanti,rezzaschi o rezzesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Rezzo,Rezzo
Rezzo – MappaPosizione del comune di Rezzo nella provincia di Imperia,Rezzo – MappaPosizione del comune di Rezzo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
