Perinaldo comune,Perinaldo comune.1
,
Perinaldo – VedutaPanorama di Perinaldo,Perinaldo – VedutaPanorama di Perinaldo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,"Francesco Guglielmi (lista civica ""Insieme per Perinaldo"") dal 13-6-2022"
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°52′00.95″N 7°40′27.66″E
Altitudine,572 m s.l.m.
Superficie,"20,3 km²"
Abitanti,780[1] (30-11-2025)
Densità,"38,42 ab./km²"
Frazioni,"Negi, Suseneo"
Comuni confinanti,"Apricale, Dolceacqua, San Biagio della Cima, Sanremo, Seborga, Soldano, Vallebona"
Altre informazioni,Altre informazioni
Cod. postale,18032
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008040
Cod. catastale,G454
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,perinaldesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Perinaldo,Perinaldo
Perinaldo – MappaPosizione del comune di Perinaldo nella provincia di Imperia,Perinaldo – MappaPosizione del comune di Perinaldo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
