Sanremo comune,Sanremo comune.1
,
"Sanremo – VedutaIn alto, da sinistra a destra: Chiesa di Cristo Salvatore, Casinò Municipale, fontana dello Zampillo. In basso: panorama cittadino da piazza Castello.","Sanremo – VedutaIn alto, da sinistra a destra: Chiesa di Cristo Salvatore, Casinò Municipale, fontana dello Zampillo. In basso: panorama cittadino da piazza Castello."
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Alessandro Mager (liste civiche di centro) dal 24-6-2024
Territorio,Territorio
Coordinate,43°49′03″N 7°46′30″E
Altitudine,15 m s.l.m.
Superficie,"55,96 km²"
Abitanti,53 182[1] (30-11-2025)
Densità,"950,36 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Apricale, Bajardo, Ceriana, Ospedaletti, Perinaldo, Seborga, Taggia"
Altre informazioni,Altre informazioni
Cod. postale,18038
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008055
Cod. catastale,I138
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 105 GG[3]"
Nome abitanti,"sanremesi[4], sanremaschi o matuziani"
Patrono,"san Romolo, vescovo di Genova"
Giorno festivo,13 ottobre
Soprannome,Città dei fiori[5]
Cartografia,Cartografia
Sanremo,Sanremo
Sanremo – MappaPosizione del comune di Sanremo nella provincia di Imperia,Sanremo – MappaPosizione del comune di Sanremo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
