Pietrabruna comune,Pietrabruna comune.1
,
Pietrabruna – VedutaPanorama di Pietrabruna,Pietrabruna – VedutaPanorama di Pietrabruna
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,"Massimo Rosso (lista civica ""Borghi uniti"") dal 22-9-2020"
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°53′23.33″N 7°54′11.82″E
Altitudine,400 m s.l.m.
Superficie,"10,22 km²"
Abitanti,402[1] (30-11-2025)
Densità,"39,33 ab./km²"
Frazioni,"Boscomare, Torre Paponi"
Comuni confinanti,"Castellaro, Cipressa, Civezza, Dolcedo, Pompeiana, Taggia"
Altre informazioni,Altre informazioni
Cod. postale,18010
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008041
Cod. catastale,G607
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 093 GG[3]"
Nome abitanti,pietrabrunesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Pietrabruna,Pietrabruna
Pietrabruna – MappaPosizione del comune di Pietrabruna nella provincia di Imperia,Pietrabruna – MappaPosizione del comune di Pietrabruna nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
