Diano Castello comune,Diano Castello comune.1
,
Diano Castello – VedutaLa loggia Comunale,Diano Castello – VedutaLa loggia Comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Romano Damonte (lista civica di centro-destra Continuità e rinnovamento) dal 16-5-2011 (3º mandato dal 4-10-2021)
Data di istituzione,1925
Territorio,Territorio
Coordinate,43°55′26.55″N 8°04′01.02″E
Altitudine,135 m s.l.m.
Superficie,"6,11 km²"
Abitanti,2 263[1] (30-11-2025)
Densità,"370,38 ab./km²"
Frazioni,Varcavello
Comuni confinanti,"Diano Arentino, Diano Marina, Diano San Pietro, Imperia, San Bartolomeo al Mare"
Altre informazioni,Altre informazioni
Cod. postale,18013
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008026
Cod. catastale,D296
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 501 GG[3]"
Nome abitanti,castellotti
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Diano Castello,Diano Castello
Diano Castello – MappaPosizione del comune di Diano Castello nella provincia di Imperia,Diano Castello – MappaPosizione del comune di Diano Castello nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
