Ventimiglia comune,Ventimiglia comune.1
,
Ventimiglia – VedutaLa città vecchia di Ventimiglia,Ventimiglia – VedutaLa città vecchia di Ventimiglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Flavio Di Muro (Lega) dal 29-5-2023
Territorio,Territorio
Coordinate,43°47′25″N 7°36′30″E
Altitudine,9 m s.l.m.
Superficie,"53,73 km²"
Abitanti,23 077[1] (30-11-2025)
Densità,"429,5 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Airole, Camporosso, Castellar (FR-06), Dolceacqua, Mentone (FR-06), Olivetta San Michele"
Altre informazioni,Altre informazioni
Cod. postale,18039
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008065
Cod. catastale,L741
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 119 GG[3]"
Nome abitanti,ventimigliesi/intemelii
Patrono,san Secondo
Giorno festivo,26 agosto
Cartografia,Cartografia
Ventimiglia,Ventimiglia
Ventimiglia – MappaPosizione del comune di Ventimiglia nella provincia di Imperia,Ventimiglia – MappaPosizione del comune di Ventimiglia nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
