Rocchetta Nervina comune,Rocchetta Nervina comune.1
,
Rocchetta Nervina – VedutaPanorama di Rocchetta Nervina,Rocchetta Nervina – VedutaPanorama di Rocchetta Nervina
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,"Claudio Basso (lista civica ""Castrvm Barbaire"") dal 22-9-2020"
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°53′23.99″N 7°36′00.73″E
Altitudine,235 m s.l.m.
Superficie,"15,29 km²"
Abitanti,270[1] (30-11-2025)
Densità,"17,66 ab./km²"
Comuni confinanti,"Apricale, Breglio (FR-06), Dolceacqua, Isolabona, Pigna, Saorgio (FR-06)"
Altre informazioni,Altre informazioni
Cod. postale,18030
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008051
Cod. catastale,H460
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 606 GG[3]"
Nome abitanti,rocchettini
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Rocchetta Nervina,Rocchetta Nervina
Rocchetta Nervina – MappaPosizione del comune di Rocchetta Nervina nella provincia di Imperia,Rocchetta Nervina – MappaPosizione del comune di Rocchetta Nervina nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
