Olivetta San Michele comune,Olivetta San Michele comune.1
,
Olivetta San Michele – VedutaPanorama di Olivetta San Michele,Olivetta San Michele – VedutaPanorama di Olivetta San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Adriano Biancheri (lista civica Insieme per Olivetta) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°52′47.02″N 7°30′56.01″E
Altitudine,292 m s.l.m.
Superficie,"13,84 km²"
Abitanti,191[1] (30-11-2025)
Densità,"13,8 ab./km²"
Frazioni,"Fanghetto, San Michele"
Comuni confinanti,"Airole, Breglio (FR-06), Sospello (FR-06), Castellar (FR-06), Ventimiglia"
Altre informazioni,Altre informazioni
Cod. postale,18030
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008038
Cod. catastale,G041
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 748 GG[3]"
Nome abitanti,olivettesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Olivetta San Michele,Olivetta San Michele
Olivetta San Michele – MappaPosizione del comune di Olivetta San Michele nella provincia di Imperia,Olivetta San Michele – MappaPosizione del comune di Olivetta San Michele nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
