Pontedassio comune,Pontedassio comune.1
,
Pontedassio – VedutaPanorama di Pontedassio,Pontedassio – VedutaPanorama di Pontedassio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Fulvio Pezzuto (lista civica Testa e cuore) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°56′25.01″N 8°00′44.28″E
Altitudine,80 m s.l.m.
Superficie,"13,31 km²"
Abitanti,2 389[1] (30-11-2025)
Densità,"179,49 ab./km²"
Frazioni,"Bestagno, Villa Guardia, Villa Viani"
Comuni confinanti,"Chiusanico, Chiusavecchia, Diano Arentino, Imperia, Lucinasco, Vasia"
Altre informazioni,Altre informazioni
Cod. postale,18027
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008045
Cod. catastale,G840
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 354 GG[3]"
Nome abitanti,pontedassini
Patrono,santa Margherita d'Antiochia
Giorno festivo,20 luglio
Cartografia,Cartografia
Pontedassio,Pontedassio
Pontedassio – MappaPosizione del comune di Pontedassio nella provincia di Imperia,Pontedassio – MappaPosizione del comune di Pontedassio nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
