Airole comune,Airole comune.1
,
Airole – VedutaPanorama di Airole,Airole – VedutaPanorama di Airole
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Andrea Molinari (lista civica Patto per Airole) dal 10-6-2024
Data di istituzione,Dato Istat. - Popolazione residente al 31 marzo 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,43°52′18.78″N 7°33′12.16″E
Altitudine,149 m s.l.m.
Superficie,"14,63 km²"
Abitanti,371[1] (30-11-2025)
Densità,"25,36 ab./km²"
Frazioni,Collabassa
Comuni confinanti,"Breglio (FR-06), Dolceacqua, Olivetta San Michele, Ventimiglia"
Altre informazioni,Altre informazioni
Cod. postale,18030
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008001
Cod. catastale,A111
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 706 GG[3]"
Nome abitanti,airolesi
Patrono,santi Filippo e Giacomo
Giorno festivo,11 maggio
Cartografia,Cartografia
Airole,Airole
Airole – MappaPosizione del comune di Airole nella provincia di Imperia,Airole – MappaPosizione del comune di Airole nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
