Apricale comune,Apricale comune.1
,
Apricale – VedutaPanorama di Apricale,Apricale – VedutaPanorama di Apricale
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Silvano Pisano (lista civica Apricale per tutti) dal 16-5-2011 (3º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°52′49.92″N 7°39′37.74″E
Altitudine,273 m s.l.m.
Superficie,"19,94 km²"
Abitanti,585[1] (30-11-2025)
Densità,"29,34 ab./km²"
Comuni confinanti,"Bajardo, Castel Vittorio, Dolceacqua, Isolabona, Perinaldo, Pigna, Rocchetta Nervina, Sanremo"
Altre informazioni,Altre informazioni
Cod. postale,18035
Prefisso,0184
Fuso orario,UTC+1
Codice ISTAT,008002
Cod. catastale,A338
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 015 GG[3]"
Nome abitanti,apricalesi
Patrono,sant'Antonio abate
Giorno festivo,8 settembre
Cartografia,Cartografia
Apricale,Apricale
Apricale – MappaPosizione del comune di Apricale nella provincia di Imperia,Apricale – MappaPosizione del comune di Apricale nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
