Montegrosso Pian Latte comune,Montegrosso Pian Latte comune.1
,
Montegrosso Pian Latte – VedutaPanorama di Montegrosso Pian Latte,Montegrosso Pian Latte – VedutaPanorama di Montegrosso Pian Latte
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Marco Ferrari (lista civica Uniti per Montegrosso) dal 10-6-2024
Data di istituzione,1950
Territorio,Territorio
Coordinate,44°03′59.93″N 7°49′04.02″E
Altitudine,721 m s.l.m.
Superficie,"10,03 km²"
Abitanti,109[1] (30-11-2025)
Densità,"10,87 ab./km²"
Comuni confinanti,"Cosio di Arroscia, Mendatica, Molini di Triora, Pornassio, Rezzo, Triora"
Altre informazioni,Altre informazioni
Cod. postale,18025
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008037
Cod. catastale,F528
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 093 GG[3]"
Nome abitanti,Montegrossini o Babarci
Patrono,San Biagio Vescovo e Martire
Giorno festivo,3 febbraio
Cartografia,Cartografia
Montegrosso Pian Latte,Montegrosso Pian Latte
Montegrosso Pian Latte – MappaPosizione del comune di Montegrosso Pian Latte nella provincia di Imperia,Montegrosso Pian Latte – MappaPosizione del comune di Montegrosso Pian Latte nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
